revenu_mensuel_net,revenu_annuel,charges_mensuelles_totales,montant_demande,nbr_mois_remboursement,anciennete_emploi_mois,type_contrat,TARGET
1661.0,19932.0,662.0,1791.0,16.0,21.0,CDI,1
2351.0,28212.0,808.0,12004.0,36.0,40.0,CDI,0
555.0,6660.0,361.0,573.0,20.0,8.0,CDI,0
1026.0,12312.0,560.0,1329.0,11.0,101.0,CDI,0
899.0,10788.0,494.0,2635.0,23.0,101.0,CDI,0
695.0,8340.0,446.0,2388.0,18.0,53.0,CDI,0
1347.0,16164.0,729.0,13660.0,36.0,104.0,CDD,0
3189.0,38268.0,910.0,13399.0,36.0,15.0,CDI,0
1026.0,12312.0,510.0,1773.0,20.0,67.0,CDI,0
805.0,9660.0,523.0,4078.0,31.0,23.0,CDI,0
555.0,6660.0,361.0,517.0,14.0,91.0,CDI,0
1912.0,22944.0,888.0,7711.0,32.0,101.0,CDI,0
1564.0,18768.0,549.0,5568.0,24.0,7.0,CDI,0
1231.0,14772.0,498.0,1297.0,15.0,39.0,CDI,0
725.0,8700.0,471.0,2612.0,19.0,44.0,CDI,0
555.0,6660.0,361.0,1092.0,20.0,6.0,CDI,0
805.0,9660.0,468.0,617.0,20.0,260.0,CDI,0
621.0,7452.0,404.0,3020.0,31.0,68.0,CDI,0
1026.0,12312.0,488.0,1851.0,20.0,143.0,CDI,0
1661.0,19932.0,843.0,10492.0,30.0,55.0,CDD,0
3942.0,47304.0,1555.0,2487.0,15.0,144.0,CDI,0
1026.0,12312.0,667.0,914.0,19.0,25.0,CDI,0
621.0,7452.0,404.0,815.0,20.0,116.0,CDI,0
805.0,9660.0,523.0,8239.0,36.0,88.0,CDI,1
805.0,9660.0,523.0,1442.0,14.0,41.0,CDI,0
2351.0,28212.0,929.0,5828.0,14.0,60.0,CDI,0
621.0,7452.0,404.0,679.0,20.0,34.0,CDI,0
2572.0,30864.0,1018.0,4133.0,27.0,89.0,CDD,0
805.0,9660.0,497.0,2625.0,20.0,37.0,CDI,0
621.0,7452.0,404.0,730.0,10.0,147.0,CDI,0
3189.0,38268.0,1437.0,5074.0,19.0,69.0,CDD,0
